Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH_001,45,4500,Graduate,4,Yes,Urban
HH_002,32,2800,Secondary,3,No,Rural
HH_003,58,6200,Post-Grad,2,Yes,Urban
HH_004,27,2100,Primary,5,No,Rural
HH_005,51,3900,Graduate,4,Yes,Urban
HH_006,39,3200,Secondary,6,Yes,Rural
HH_007,63,5500,Post-Grad,2,Yes,Urban
HH_008,41,2900,Graduate,3,No,Urban
HH_009,35,2400,Primary,5,No,Rural
HH_010,48,4100,Secondary,4,Yes,Rural
HH_011,29,3100,Graduate,2,No,Urban
HH_012,55,7200,Post-Grad,3,Yes,Urban
HH_013,42,3400,Secondary,4,Yes,Rural
HH_014,38,2700,Primary,5,No,Rural
HH_015,46,4800,Graduate,4,Yes,Urban
HH_016,33,3000,Secondary,3,No,Rural
HH_017,60,5900,Post-Grad,2,Yes,Urban
HH_018,25,1900,Primary,4,No,Rural
HH_019,52,4300,Graduate,4,Yes,Urban
HH_020,40,3500,Secondary,5,Yes,Rural
HH_021,44,4600,Graduate,4,Yes,Urban
HH_022,31,2600,Secondary,3,No,Rural
HH_023,57,6400,Post-Grad,2,Yes,Urban
HH_024,28,2200,Primary,6,No,Rural
HH_025,50,4000,Graduate,4,Yes,Urban
HH_026,37,3300,Secondary,5,Yes,Rural
HH_027,62,5600,Post-Grad,2,Yes,Urban
HH_028,43,3000,Graduate,3,No,Urban
HH_029,34,2300,Primary,5,No,Rural
HH_030,47,4200,Secondary,4,Yes,Rural
HH_031,30,3200,Graduate,2,No,Urban
HH_032,54,7100,Post-Grad,3,Yes,Urban
HH_033,41,3500,Secondary,4,Yes,Rural
HH_034,36,2800,Primary,6,No,Rural
HH_035,45,4900,Graduate,4,Yes,Urban
HH_036,32,3100,Secondary,3,No,Rural
HH_037,59,6000,Post-Grad,2,Yes,Urban
HH_038,26,2000,Primary,4,No,Rural
HH_039,53,4400,Graduate,4,Yes,Urban
HH_040,39,3600,Secondary,5,Yes,Rural
HH_041,46,4700,Graduate,4,Yes,Urban
HH_042,32,2700,Secondary,3,No,Rural
HH_043,58,6500,Post-Grad,2,Yes,Urban
HH_044,27,2300,Primary,6,No,Rural
HH_045,51,4100,Graduate,4,Yes,Urban
HH_046,38,3400,Secondary,5,Yes,Rural
HH_047,63,5700,Post-Grad,2,Yes,Urban
HH_048,42,3100,Graduate,3,No,Urban
HH_049,35,2400,Primary,5,No,Rural
HH_050,48,4300,Secondary,4,Yes,Rural
HH_051,29,3300,Graduate,2,No,Urban
HH_052,55,7000,Post-Grad,3,Yes,Urban
HH_053,42,3600,Secondary,4,Yes,Rural
HH_054,37,2900,Primary,6,No,Rural
HH_055,46,5000,Graduate,4,Yes,Urban
HH_056,33,3200,Secondary,3,No,Rural
HH_057,60,6100,Post-Grad,2,Yes,Urban
HH_058,25,2100,Primary,4,No,Rural
HH_059,52,4500,Graduate,4,Yes,Urban
HH_060,40,3700,Secondary,5,Yes,Rural
HH_061,43,4400,Graduate,4,Yes,Urban
HH_062,31,2500,Secondary,3,No,Rural
HH_063,56,6300,Post-Grad,2,Yes,Urban
HH_064,28,2000,Primary,6,No,Rural
HH_065,49,3900,Graduate,4,Yes,Urban
HH_066,36,3100,Secondary,5,Yes,Rural
HH_067,61,5500,Post-Grad,2,Yes,Urban
HH_068,41,2900,Graduate,3,No,Urban
HH_069,34,2200,Primary,5,No,Rural
HH_070,47,4000,Secondary,4,Yes,Rural
HH_071,30,3100,Graduate,2,No,Urban
HH_072,54,6900,Post-Grad,3,Yes,Urban
HH_073,40,3400,Secondary,4,Yes,Rural
HH_074,35,2700,Primary,6,No,Rural
HH_075,44,4700,Graduate,4,Yes,Urban
HH_076,31,2900,Secondary,3,No,Rural
HH_077,58,5800,Post-Grad,2,Yes,Urban
HH_078,25,1800,Primary,4,No,Rural
HH_079,51,4200,Graduate,4,Yes,Urban
HH_080,39,3400,Secondary,5,Yes,Rural
HH_081,45,4600,Graduate,4,Yes,Urban
HH_082,31,2600,Secondary,3,No,Rural
HH_083,57,6400,Post-Grad,2,Yes,Urban
HH_084,27,2100,Primary,6,No,Rural
HH_085,50,4000,Graduate,4,Yes,Urban
HH_086,37,3200,Secondary,5,Yes,Rural
HH_087,62,5600,Post-Grad,2,Yes,Urban
HH_088,41,3000,Graduate,3,No,Urban
HH_089,34,2300,Primary,5,No,Rural
HH_090,47,4200,Secondary,4,Yes,Rural
HH_091,29,3200,Graduate,2,No,Urban
HH_092,55,7100,Post-Grad,3,Yes,Urban
HH_093,42,3500,Secondary,4,Yes,Rural
HH_094,37,2800,Primary,6,No,Rural
HH_095,46,4900,Graduate,4,Yes,Urban
HH_096,33,3100,Secondary,3,No,Rural
HH_097,60,6000,Post-Grad,2,Yes,Urban
HH_098,25,2000,Primary,4,No,Rural
HH_099,52,4400,Graduate,4,Yes,Urban
HH_100,40,3600,Secondary,5,Yes,Rural
HH_101,47,4800,Graduate,4,Yes,Urban
HH_102,33,2800,Secondary,3,No,Rural
HH_103,59,6600,Post-Grad,2,Yes,Urban
HH_104,28,2400,Primary,6,No,Rural
HH_105,52,4200,Graduate,4,Yes,Urban
HH_106,39,3500,Secondary,5,Yes,Rural
HH_107,64,5800,Post-Grad,2,Yes,Urban
HH_108,43,3200,Graduate,3,No,Urban
HH_109,36,2500,Primary,5,No,Rural
HH_110,49,4400,Secondary,4,Yes,Rural
HH_111,30,3400,Graduate,2,No,Urban
HH_112,56,7100,Post-Grad,3,Yes,Urban
HH_113,43,3700,Secondary,4,Yes,Rural
HH_114,38,3000,Primary,6,No,Rural
HH_115,47,5100,Graduate,4,Yes,Urban
HH_116,34,3300,Secondary,3,No,Rural
HH_117,61,6200,Post-Grad,2,Yes,Urban
HH_118,26,2200,Primary,4,No,Rural
HH_119,53,4600,Graduate,4,Yes,Urban
HH_120,41,3800,Secondary,5,Yes,Rural
HH_121,44,4500,Graduate,4,Yes,Urban
HH_122,30,2400,Secondary,3,No,Rural
HH_123,55,6200,Post-Grad,2,Yes,Urban
HH_124,26,1900,Primary,6,No,Rural
HH_125,48,3800,Graduate,4,Yes,Urban
HH_126,35,3000,Secondary,5,Yes,Rural
HH_127,60,5400,Post-Grad,2,Yes,Urban
HH_128,40,2800,Graduate,3,No,Urban
HH_129,33,2100,Primary,5,No,Rural
HH_130,46,3900,Secondary,4,Yes,Rural
HH_131,28,3000,Graduate,2,No,Urban
HH_132,53,6800,Post-Grad,3,Yes,Urban
HH_133,39,3300,Secondary,4,Yes,Rural
HH_134,34,2600,Primary,6,No,Rural
HH_135,43,4600,Graduate,4,Yes,Urban
HH_136,30,2800,Secondary,3,No,Rural
HH_137,57,5700,Post-Grad,2,Yes,Urban
HH_138,24,1700,Primary,4,No,Rural
HH_139,50,4100,Graduate,4,Yes,Urban
HH_140,38,3300,Secondary,5,Yes,Rural
HH_141,45,4700,Graduate,4,Yes,Urban
HH_142,31,2700,Secondary,3,No,Rural
HH_143,58,6500,Post-Grad,2,Yes,Urban
HH_144,27,2300,Primary,6,No,Rural
HH_145,51,4100,Graduate,4,Yes,Urban
HH_146,38,3400,Secondary,5,Yes,Rural
HH_147,63,5700,Post-Grad,2,Yes,Urban
HH_148,42,3100,Graduate,3,No,Urban
HH_149,35,2400,Primary,5,No,Rural
HH_150,48,4300,Secondary,4,Yes,Rural
